Datum;Fussballspiel
11.08.17;Kiel
25.08.17;Kiel
16.09.17;Kiel
29.09.17;Kiel
21.10.17;Kiel
04.11.17;Kiel
25.11.17;Kiel
09.12.17;Kiel
22.12.17;Kiel
02.02.18;Kiel
16.02.18;Kiel
02.03.18;Kiel
17.03.18;Kiel
07.04.18;Kiel
11.08.18;Kiel
25.08.18;Kiel
16.09.18;Kiel
29.09.18;Kiel
21.10.18;Kiel
04.11.18;Kiel
25.11.18;Kiel
09.12.18;Kiel
22.12.18;Kiel
02.02.19;Kiel
16.02.19;Kiel
02.03.19;Kiel
17.03.19;Kiel
07.04.19;Kiel
13.09.20;Kiel
26.09.20;Kiel
18.10.20;Kiel
31.10.20;Kiel
09.11.20;Kiel
29.11.20;Kiel
12.12.20;Kiel
20.12.20;Kiel
13.01.21;Kiel
27.01.21;Kiel
30.01.21;Kiel
08.02.21;Kiel
22.02.21;Kiel
07.05.21;Kiel
05.08.23;Kiel
17.09.23;Kiel
30.09.23;Kiel
29.10.23;Kiel
04.11.23;Kiel
26.11.23;Kiel
10.12.23;Kiel
03.02.24;Kiel
17.02.24;Kiel
16.03.24;Kiel
20.04.24;Kiel
