"Datum","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Warengruppe","Umsatz","id","KielerWoche","Feiertag","Art_des_Feiertags","Ferien","Wochentag","Fussballspiel","Flohmarkt","Jahreszeit","Temperaturkategorie","Kreuzfahrtschiffe"
2012-01-01,8,9.825,14,58,NA,NA,NA,0,1,"Neujahr",NA,"Sonntag","0",0,NA,"mittel",0
2012-01-02,7,7.4375,12,60,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-01-03,8,5.5375,18,63,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-01-04,4,5.6875,19,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-01-05,6,5.3,23,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-01-06,3,2.625,10,70,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-01-07,7,6.528571,14,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-01-08,7,5.9625,10,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-01-09,8,5.15,12,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-01-10,6,6.1125,10,56,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-01-11,6,7.8625,16,51,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-01-12,7,7.4375,25,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-01-13,2,4.8,18,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-01-14,3,2.8875,10,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-01-15,1,2.225,6,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-01-16,8,3.0625,6,61,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-01-17,6,4.4875,10,56,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-01-18,7,2.35,12,51,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-01-19,8,5.2625,16,80,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-01-20,6,3.4375,12,26,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-01-21,7,3.5375,16,68,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-01-22,6,3.7875,12,21,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-01-23,5,2.2125,4,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-01-24,3,1.7625,6,25,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-01-25,3,-0.1875,8,40,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-01-26,2,0.3625,12,55,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-01-27,8,-1,10,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-01-28,6,-1.3875,10,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","0",0,NA,"niedrig",0
2012-01-29,7,-3.1625,8,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-01-30,3,-2.275,12,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-01-31,1,-2.375,18,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-02-01,7,-1.825,16,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-02-02,6,-5.85,8,85,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-02-03,4,-5.85,14,3,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
2012-02-04,4,-7.5375,10,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Samstag","1",0,NA,"niedrig",0
2012-02-05,5,-7.7125,8,40,NA,NA,NA,0,0,"Kein Feiertag",NA,"Sonntag","0",0,NA,"niedrig",0
2012-02-06,4,-10.25,6,10,NA,NA,NA,0,0,"Kein Feiertag",NA,"Montag","0",0,NA,"niedrig",0
2012-02-07,6,-3,18,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Dienstag","0",0,NA,"niedrig",0
2012-02-08,6,-2.7625,10,37,NA,NA,NA,0,0,"Kein Feiertag",NA,"Mittwoch","0",0,NA,"niedrig",0
2012-02-09,6,-1.6625,21,3,NA,NA,NA,0,0,"Kein Feiertag",NA,"Donnerstag","0",0,NA,"niedrig",0
2012-02-10,6,-2.8125,8,71,NA,NA,NA,0,0,"Kein Feiertag",NA,"Freitag","0",0,NA,"niedrig",0
