"Datum","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","id","Umsatz","Warengruppe","KielerWoche","Wochentag","Feiertag","Art_des_Feiertags","Kreuzfahrtschiffe","Jahreszeit","Fussballspiel","Flohmarkt","Handballspiele","Ferien","RollingMean_temp","Diff_temp","RollingMean_wind","Diff_wind","RollingMean_bewoelkung","Diff_bewoelkung","Temperaturkategorie","Wettercode_imp","Wettercode_imp.1","Bewoelkung_imp"
2013-07-01,"6",15,15,"20",1307011,148.828353112183,1,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,17.8375,0,15,0,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-01,"6",17.8375,17.8375,"20",1307012,535.856284785361,2,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,17.8375,0,15,0,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-01,"6",15,15,"20",1307013,201.198425690037,3,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,17.8375,0,15,0,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-01,"6",17.8375,17.8375,"20",1307014,65.890168799361,4,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,17.8375,0,15,0,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-01,"6",15,15,"20",1307015,317.475874933038,5,0,"Montag",0,"Kein Feiertag",0,"Sommer",0,0,0,1,17.8375,0,15,0,NA,NA,"niedrig",FALSE,FALSE,FALSE
2013-07-02,"3",17.8375,17.8375,"61",1307021,159.79375714468,1,0,"Dienstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,17.75,-0.4375,14.1666666666667,-4.16666666666667,NA,NA,"niedrig",TRUE,TRUE,FALSE
2013-07-02,"3",15,15,"10",1307022,546.780787392297,2,0,"Dienstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,17.6875,-0.375,13.5714285714286,-3.57142857142857,NA,NA,"niedrig",TRUE,TRUE,FALSE
2013-07-02,"3",17.8375,17.8375,"10",1307023,265.261253994438,3,0,"Dienstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,17.6125,-0.300000000000001,12.8571428571429,-2.85714285714286,NA,NA,"niedrig",TRUE,TRUE,FALSE
2013-07-02,"3",15,15,"5",1307024,74.5439171827412,4,0,"Dienstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,17.5375,-0.224999999999998,12.1428571428571,-2.14285714285714,NA,NA,"niedrig",TRUE,TRUE,FALSE
2013-07-02,"3",17.8375,17.8375,"10",1307025,383.628681612577,5,0,"Dienstag",0,"Kein Feiertag",1,"Sommer",0,0,0,1,17.4625,-0.149999999999999,11.4285714285714,-1.42857142857143,NA,NA,"niedrig",TRUE,TRUE,FALSE
