"Datum","Kreuzfahrtschiffe"
13-04-13,1
13-04-17,1
13-04-20,1
13-04-23,1
13-04-24,1
13-04-25,1
13-04-27,1
13-04-28,1
13-04-30,1
13-05-01,2
13-05-04,1
13-05-05,2
13-05-07,1
13-05-10,2
13-05-11,2
13-05-13,1
13-05-16,1
13-05-18,2
13-05-19,1
13-05-23,1
13-05-25,2
13-05-26,1
13-05-28,1
13-05-29,2
13-05-30,1
13-05-31,1
13-06-01,2
13-06-02,1
13-06-03,2
13-06-04,1
13-06-08,3
13-06-09,3
13-06-12,1
13-06-13,1
13-06-15,3
13-06-16,2
13-06-19,1
13-06-20,1
13-06-22,1
13-06-23,1
13-06-24,1
13-06-27,1
13-06-28,2
13-06-29,4
13-06-30,2
13-07-02,1
13-07-04,1
13-07-06,1
13-07-07,1
13-07-09,3
13-07-11,1
13-07-13,2
13-07-14,2
13-07-17,1
13-07-18,1
13-07-19,2
13-07-20,1
13-07-21,2
13-07-22,2
13-07-24,1
13-07-27,1
13-07-28,1
13-08-02,1
13-08-03,1
13-08-04,1
13-08-05,1
13-08-10,3
13-08-11,1
13-08-12,1
13-08-15,1
13-08-17,1
13-08-18,1
13-08-21,1
13-08-22,1
13-08-24,2
13-08-25,2
13-08-27,1
13-08-30,1
13-08-31,1
13-09-01,1
13-09-03,1
13-09-04,1
13-09-07,3
13-09-08,1
13-09-09,1
13-09-14,2
13-09-21,1
13-09-28,1
13-10-02,1
14-04-05,1
14-04-10,1
14-04-12,1
14-04-19,1
14-04-26,1
14-04-30,1
14-05-03,1
14-05-10,3
14-05-11,1
14-05-14,1
14-05-15,1
14-05-17,2
14-05-19,2
14-05-21,1
14-05-22,1
14-05-24,2
14-05-25,1
14-05-27,1
14-05-29,1
14-05-31,3
14-06-01,3
14-06-02,3
14-06-03,1
14-06-04,2
14-06-06,2
14-06-07,1
14-06-09,2
14-06-11,3
14-06-12,2
14-06-13,3
14-06-14,2
14-06-15,1
14-06-19,1
14-06-21,2
14-06-22,2
14-06-23,1
14-06-24,1
14-06-25,2
14-06-27,1
14-06-28,3
14-06-29,1
14-06-30,1
14-07-02,1
14-07-03,1
14-07-05,1
14-07-06,1
14-07-09,2
14-07-10,1
14-07-12,1
14-07-13,1
14-07-14,1
14-07-16,1
14-07-17,1
14-07-18,1
14-07-19,1
14-07-20,1
14-07-22,2
14-07-26,1
14-07-29,1
14-07-31,1
14-08-01,1
14-08-02,2
14-08-03,2
14-08-05,1
14-08-09,2
14-08-14,1
14-08-16,2
14-08-17,1
14-08-18,1
14-08-19,1
14-08-23,1
14-08-25,2
14-08-27,1
14-08-30,2
14-09-04,1
14-09-06,3
14-09-13,1
14-09-15,1
14-09-20,1
14-09-22,1
14-09-27,1
14-10-04,1
14-10-06,1
14-10-11,1
14-10-18,1
15-04-04,1
15-04-11,1
15-04-18,1
15-04-20,1
15-04-24,1
15-04-25,1
15-04-28,2
15-05-02,2
15-05-09,3
15-05-12,1
15-05-14,2
15-05-16,3
15-05-17,2
15-05-20,2
15-05-21,2
15-05-23,2
15-05-25,1
15-05-30,3
15-05-31,1
15-06-02,1
15-06-03,2
15-06-04,1
15-06-06,2
15-06-07,2
15-06-11,2
15-06-13,3
15-06-14,2
15-06-17,1
15-06-18,1
15-06-20,3
15-06-22,1
15-06-26,3
15-06-27,2
15-06-28,2
15-06-29,1
15-07-02,2
15-07-03,1
15-07-04,1
15-07-05,1
15-07-07,1
15-07-08,1
15-07-10,2
15-07-11,3
15-07-14,1
15-07-15,1
15-07-17,1
15-07-18,1
15-07-20,1
15-07-21,1
15-07-25,4
15-07-26,1
15-08-01,2
15-08-02,1
15-08-05,1
15-08-08,4
15-08-10,2
15-08-12,1
15-08-15,2
15-08-16,1
15-08-20,1
15-08-22,4
15-08-26,1
15-08-27,3
15-08-29,1
15-08-30,2
15-08-31,1
15-10-03,1
15-10-17,1
15-10-20,1
16-04-25,1
16-04-29,1
16-04-30,1
16-05-03,1
16-05-07,3
16-05-11,1
16-05-14,2
16-05-15,2
16-05-19,1
16-05-21,3
16-05-22,2
16-05-23,1
16-05-28,1
16-05-29,2
16-05-30,1
16-05-31,1
16-06-01,1
16-06-02,1
16-06-04,3
16-06-05,1
16-06-06,1
16-06-07,2
16-06-08,1
16-06-09,1
16-06-11,3
16-06-12,1
16-06-13,1
16-06-16,1
16-06-18,5
16-06-19,1
16-06-22,1
16-06-23,2
16-06-25,2
16-06-26,4
16-06-29,2
16-06-30,2
16-07-02,2
16-07-03,2
16-07-06,2
16-07-07,2
16-07-09,2
16-07-10,1
16-07-13,2
16-07-14,1
16-07-15,1
16-07-16,4
16-07-18,1
16-07-21,1
16-07-23,2
16-07-24,1
16-07-25,1
16-07-26,1
16-07-29,2
16-07-30,4
16-08-01,1
16-08-05,1
16-08-06,3
16-08-11,1
16-08-13,4
16-08-14,1
16-08-17,1
16-08-18,1
16-08-20,3
16-08-21,1
16-08-22,2
16-08-24,1
16-08-26,1
16-08-27,3
16-08-28,1
16-08-29,1
16-08-30,1
16-09-03,1
16-09-05,1
16-09-06,2
16-09-07,1
16-09-10,3
16-09-12,1
16-09-15,1
16-09-16,1
16-09-17,1
16-09-20,1
16-09-24,2
16-09-27,1
16-09-28,1
16-10-08,1
17-04-09,1
17-04-16,1
17-04-23,1
17-04-25,1
17-04-29,1
17-04-30,1
17-05-06,2
17-05-07,1
17-05-11,1
17-05-12,1
17-05-13,1
17-05-16,1
17-05-17,1
17-05-18,1
17-05-19,2
17-05-20,1
17-05-21,1
17-05-22,1
17-05-23,2
17-05-26,1
17-05-27,3
17-05-28,1
17-05-30,1
17-05-31,1
17-06-01,1
17-06-03,4
17-06-04,1
17-06-06,2
17-06-08,1
17-06-10,2
17-06-11,1
17-06-14,2
17-06-17,2
17-06-18,2
17-06-21,3
17-06-22,1
17-06-23,2
17-06-24,1
17-06-25,1
17-06-26,2
17-06-28,2
17-06-30,1
17-07-01,2
17-07-02,1
17-07-03,1
17-07-05,1
17-07-07,2
17-07-08,2
17-07-10,1
17-07-11,1
17-07-12,1
17-07-14,1
17-07-15,3
17-07-18,1
17-07-20,1
17-07-22,1
17-07-24,1
17-07-26,2
17-07-28,1
17-07-29,3
17-08-01,1
17-08-02,1
17-08-03,1
17-08-05,3
17-08-06,1
17-08-11,2
17-08-12,4
17-08-13,2
