"Datum","Kreuzfahrtschiffe"
18-04-06,1
18-04-08,1
18-04-15,1
18-04-22,1
18-04-26,1
18-04-27,1
18-04-28,2
18-04-29,2
18-05-04,2
18-05-05,2
18-05-09,1
18-05-11,1
18-05-12,2
18-05-13,2
18-05-15,1
18-05-17,2
18-05-19,4
18-05-20,1
18-05-21,3
18-05-23,1
18-05-25,1
18-05-26,1
18-05-27,2
18-05-29,2
18-05-31,2
18-06-01,1
18-06-02,2
18-06-03,2
18-06-04,1
18-06-06,1
18-06-07,1
18-06-09,4
18-06-10,1
18-06-11,1
18-06-12,1
18-06-16,2
18-06-17,3
18-06-19,1
18-06-23,3
18-06-24,2
18-06-25,1
18-06-26,1
18-06-27,1
18-06-30,2
18-07-01,3
18-07-03,1
18-07-05,1
18-07-06,3
18-07-07,2
18-07-08,1
18-07-09,1
18-07-11,2
18-07-14,2
18-07-15,2
18-07-17,2
18-07-18,1
18-07-20,1
18-07-21,1
18-07-22,1
18-07-23,1
18-07-28,3
18-07-29,2
18-07-30,3
18-07-31,3
18-08-04,2
18-08-05,1
18-08-10,1
18-08-11,5
18-08-12,2
18-08-17,1
18-08-18,2
18-08-19,1
18-08-20,2
18-08-22,1
18-08-23,2
18-08-25,3
18-08-26,1
18-08-31,3
18-09-01,1
18-09-02,2
18-09-06,1
18-09-08,2
18-09-09,1
18-09-10,2
18-09-11,1
18-09-13,1
18-09-16,1
18-09-17,1
18-09-23,1
18-09-26,1
18-09-27,1
18-09-30,3
18-10-02,1
18-10-06,2
18-10-07,1
18-10-14,1
18-10-21,1
18-10-24,1
18-10-28,1
18-10-30,1
