"Datum","Kreuzfahrtschiffe"
2013-04-13,1
2013-04-17,1
2013-04-20,1
2013-04-23,1
2013-04-24,1
2013-04-25,1
2013-04-27,1
2013-04-28,1
2013-04-30,1
2013-05-01,2
2013-05-04,1
2013-05-05,2
2013-05-07,1
2013-05-11,1
14-04-05,1
14-04-10,1
14-04-12,1
14-04-19,1
14-04-26,1
14-04-30,1
14-05-03,1
14-05-10,3
14-05-11,1
14-05-14,1
14-05-15,1
14-05-17,2
14-05-19,2
14-05-21,1
14-05-22,1
14-05-24,2
14-05-25,1
14-05-27,1
14-05-29,1
14-05-31,3
14-06-01,3
14-06-02,3
14-06-03,1
14-06-04,2
14-06-06,2
14-06-07,1
14-06-09,2
14-06-11,3
14-06-12,2
14-06-13,3
14-06-14,2
14-06-15,1
14-06-19,1
14-06-21,2
14-06-22,2
14-06-23,1
14-06-24,1
14-06-25,2
14-06-27,1
14-06-28,3
14-06-29,1
14-06-30,1
14-07-02,1
14-07-03,1
14-07-05,1
14-07-06,1
14-07-09,2
14-07-10,1
14-07-12,1
14-07-13,1
14-07-14,1
14-07-16,1
14-07-17,1
14-07-18,1
14-07-19,1
14-07-20,1
14-07-22,2
14-07-26,1
14-07-29,1
14-07-31,1
14-08-01,1
14-08-02,2
14-08-03,2
14-08-05,1
14-08-09,2
14-08-14,1
14-08-16,2
14-08-17,1
14-08-18,1
14-08-19,1
14-08-23,1
14-08-25,2
14-08-27,1
14-08-30,2
14-09-04,1
14-09-06,3
14-09-13,1
14-09-15,1
14-09-20,1
14-09-22,1
14-09-27,1
14-10-04,1
14-10-06,1
14-10-11,1
14-10-18,1
15-04-04,1
15-04-11,1
15-04-18,1
15-04-20,1
15-04-24,1
15-04-25,1
15-04-28,2
15-05-02,2
15-05-09,3
15-05-12,1
15-05-14,2
15-05-16,3
15-05-17,2
15-05-20,2
15-05-21,2
15-05-23,2
15-05-25,1
15-05-30,3
15-05-31,1
15-06-02,1
15-06-03,2
15-06-04,1
15-06-06,2
15-06-07,2
15-06-11,2
15-06-13,3
15-06-14,2
15-06-17,1
15-06-18,1
15-06-20,3
15-06-22,1
15-06-26,3
15-06-27,2
15-06-28,2
15-06-29,1
15-07-02,4
15-07-03,2
15-07-04,2
15-07-05,2
15-07-07,2
15-07-08,2
15-07-10,4
15-07-11,6
15-07-14,2
15-07-15,2
15-07-17,2
15-07-18,2
15-07-20,2
15-07-21,2
15-07-25,8
15-07-26,2
15-08-01,4
15-08-02,2
15-08-05,2
15-08-08,8
15-08-10,4
15-08-12,2
15-08-15,4
15-08-16,2
15-08-20,2
15-08-22,8
15-08-26,2
15-08-27,6
15-08-29,2
15-08-30,4
15-08-31,2
15-10-03,2
15-10-17,2
15-10-20,2
