"Datum","Kreuzfahrtschiffe"
19-01-05,1
19-04-07,1
19-04-12,1
19-04-14,1
19-04-20,1
19-04-21,1
19-04-24,1
19-04-27,1
19-04-28,1
19-05-04,1
19-05-09,1
19-05-10,2
19-05-11,2
19-05-13,1
19-05-14,2
19-05-16,2
19-05-17,1
19-05-18,1
19-05-19,1
19-05-20,2
19-05-22,1
19-05-24,3
19-05-26,1
19-05-27,1
19-05-28,2
19-05-29,1
19-05-30,1
19-05-31,1
19-06-01,2
19-06-02,2
19-06-05,1
19-06-06,3
19-06-07,1
19-06-08,3
19-06-09,1
19-06-10,1
19-06-13,1
19-06-15,3
19-06-16,2
19-06-18,1
19-06-20,1
19-06-22,3
19-06-23,3
19-06-24,1
19-06-25,1
19-06-28,1
19-06-29,3
19-06-30,2
19-07-01,2
19-07-03,1
19-07-04,1
19-07-06,2
19-07-09,2
19-07-10,1
19-07-12,1
19-07-13,3
19-07-14,2
19-07-15,1
19-07-16,1
19-07-19,2
19-07-20,2
19-07-21,1
19-07-22,1
19-07-25,1
19-07-27,3
19-07-28,2
19-07-29,1
19-07-30,1
19-07-31,1
19-08-01,1
19-08-02,1
19-08-03,2
19-08-05,1
19-08-08,2
19-08-09,1
19-08-10,2
19-08-11,1
19-08-13,1
19-08-15,1
19-08-17,4
19-08-18,1
19-08-20,2
19-08-21,1
19-08-22,1
19-08-24,2
19-08-25,1
19-08-27,1
19-08-28,1
19-08-30,2
19-08-31,2
19-09-01,2
19-09-02,1
19-09-05,1
19-09-07,3
19-09-08,1
19-09-10,1
19-09-11,1
19-09-12,1
19-09-14,2
19-09-15,1
19-09-18,2
19-09-19,1
19-09-21,1
19-09-26,1
19-09-27,1
19-09-28,1
19-09-29,2
19-10-03,1
19-10-05,1
19-10-08,1
19-10-12,1
